Board Name,School Number,School Name,School Language,Street,City,Postal Code,Enrolment,Latitude,Longitude,Percentage of Students Whose First Language Is Not English,Percentage of Students Who Are New to Canada from a Non-English Speaking Country,Percentage of Students Receiving Special Education Services,Percentage of Students Identified as Gifted,Percentage of Grade 9 Students Achieving the Provincial Standard in Academic Mathematics,Change in Grade 9 Academic Mathematics Acheivement Over Three Years,Percentage of Grade 9 Students Achieving the Provincial Standard in Applied Mathematics,Percentage of Students That Passed the Grade 10 OSSLT on Their First Attempt,Change in Grade 10 OSSLT Literacy Achievement Over Three Years,Percentage of Children Who Live in Low-Income Households,Percentage of Students Whose Parents Have Some University Education
CSDC des Grandes Rivières,696153,CEA New Liskeard,French,21 Armstrong,New Liskeard,P0J1P0,15,47.50731,-79.67187,86.7,NA,SP,NA,NA,NA,NA,A/D,NA,SP,SP
CSDC des Grandes Rivières,724157,École catholique Nouveau Regard-Pavillon Jeunesse Nord,French,399 e,Cochrane,P0L1C0,106,49.071,-81.01343,80.2,NA,17.9,NA,0.95,7,S. R.,0.75,9,16.59,SP
CSDC des Grandes Rivières,698725,École secondaire catholique Cité des Jeunes,French,10 Cité des Jeunes,Kapuskasing,P5N2K2,245,49.41665,-82.40727,93.5,NA,18,NA,0.97,7,0.54,0.92,7,16.88,SP
CSDC des Grandes Rivières,835005,École secondaire catholique Georges-Vanier,French,120 Ross,Smooth Rock Falls,P0L2B0,30,49.27929,-81.62227,96.7,NA,SP,NA,S. R.,NA,S. R.,S. R.,NA,SP,SP
CSDC des Grandes Rivières,711110,École secondaire catholique Hearst,French,30 e,Hearst,P0L1N0,284,49.68405744,-83.66615993,94.4,NA,22.5,NA,0.91,3,0.78,0.93,10,14.23,SP
CSDC des Grandes Rivières,705020,École secondaire catholique Jean-Vanier,French,54 Duncan Sud,Kirkland Lake,P2N1Y1,79,48.1488,-80.03071,70.9,NA,25.3,NA,0.88,-5,S. R.,0.81,-4,25.64,SP
CSDC des Grandes Rivières,686085,École secondaire catholique L'Alliance,French,44 Anson,Iroquois Falls,P0K1E0,46,48.76882,-80.68326,80.4,NA,41.3,NA,S. R.,NA,S. R.,0.75,NA,SP,SP
CSDC des Grandes Rivières,822507,École secondaire catholique Sainte-Marie,French,340 Hessle,Temiskaming Shores,P0J1P0,321,47.51641,-79.66029,83.8,NA,25.5,NA,0.96,2,0.58,0.87,9,15.77,SP
CSDC des Grandes Rivières,864650,École secondaire catholique Theriault,French,341 Thériault,Timmins,P4N7K3,698,48.48255,-81.34889,79.5,NA,16.5,NA,0.8,-12,0.32,0.9,4,16.62,6.44
CSDC des Grandes Rivières,705949,La Clef,French,896 Riverside,Timmins,P4N3W2,50,48.476931,-81.361939,94,NA,SP,NA,NA,NA,NA,S. R.,NA,21.26,SP
CSDC du Centre-Est de l'Ontario,855949,École secondaire catholique Académie catholique Ange-Gabriel,French,1515 Kensington,Brockville,K6V6H9,53,44.61169,-75.71819,56.6,NA,22.6,NA,1,NA,A/D,1,14,SP,SP
CSDC du Centre-Est de l'Ontario,705314,École secondaire catholique Béatrice-Desloges,French,1999 Provence,Orléans,K4A3Y6,949,45.4687,-75.4595,85.7,SP,19.1,SP,0.9,0,0.61,0.97,2,11.03,23.59
CSDC du Centre-Est de l'Ontario,705373,École secondaire catholique Centre professionnel et technique Minto,French,801 de l'Aviation,Ottawa,K1K4R3,68,45.43699,-75.63393,85.3,NA,63.2,NA,S. R.,NA,S. R.,1,0,19.3,SP
CSDC du Centre-Est de l'Ontario,694827,École secondaire catholique Collège catholique Franco-Ouest,French,411 Seyton,Nepean,K2H8X1,680,45.31553,-75.83273,76.2,5.6,16.6,NA,0.85,4,0.31,0.92,4,20.77,23.39
CSDC du Centre-Est de l'Ontario,695955,École secondaire catholique Collège catholique Samuel-Genest,French,704 Carson's,Ottawa,K1K2H3,677,45.44095,-75.62918,91.9,8.1,25.6,NA,0.82,-8,0.29,0.91,-1,29.25,8.06
CSDC du Centre-Est de l'Ontario,705233,École secondaire catholique Franco-Cité,French,"623, Smyth",Ottawa,K1G1N7,891,45.40036,-75.64163,79,5.3,12.8,SP,0.87,0,0.45,0.92,0,25.32,18.82
CSDC du Centre-Est de l'Ontario,710903,École secondaire catholique Garneau,French,6588 Carrière,Orléans,K1C1J4,719,45.46508,-75.52483,86.4,SP,16.3,NA,0.92,-2,0.46,0.95,-1,12.69,27.64
CSDC du Centre-Est de l'Ontario,696021,École secondaire catholique Jeanne-Lajoie,French,1257 Pembroke Ouest,Pembroke,K8A5R3,185,45.83537,-77.15044,54.1,SP,11.4,NA,0.91,-3,0.83,0.98,3,14.11,SP
CSDC du Centre-Est de l'Ontario,750085,École secondaire catholique Marie-Rivier,French,711 Dalton,Kingston,K7M8N6,127,44.27005,-76.52319,74.8,SP,26,NA,1,4,S. R.,1,6,13.54,14.31
CSDC du Centre-Est de l'Ontario,846435,École secondaire catholique Mer Bleue,French,6401 Renaud,Orléans,K1W0H8,NA,45.43591,-75.50284,NA,NA,NA,NA,0.88,NA,0.21,0.92,NA,NA,NA
CSDC du Centre-Est de l'Ontario,758231,École secondaire catholique Paul-Desmarais,French,5315 Abbott,Ottawa,K2S0X3,43,45.27413,-75.89622,65.1,NA,SP,NA,0.89,NA,0.55,0.99,NA,SP,31.65
CSDC du Centre-Est de l'Ontario,832670,École secondaire catholique Pierre-Savard,French,1110 Longfields,Nepean,K2J0H9,573,45.27313,-75.73751,73.1,2.4,8.6,NA,0.83,15,0.32,0.91,-2,13.73,22.69
CSDC du Centre-Est de l'Ontario,804005,"École secondaire catholique Sainte-Marguerite-Bourgeoys, Kemptville",French,50 Campus,Kemptville,K0G1J0,NA,45.00714,-75.63873,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CSDC du Nouvel-Ontario,695483,Carrefour Options +,French,1311 Gemmell,Sudbury,P3A1G3,29,46.51209,-80.94779,82.8,NA,SP,NA,S. R.,NA,S. R.,A/D,NA,SP,SP
CSDC du Nouvel-Ontario,698989,Collège Notre-Dame,French,100 Lévis,Sudbury,P3C2H1,570,46.4988,-80.993,87.7,SP,9.3,SP,0.71,3,0.14,0.89,-3,15.13,11.41
CSDC du Nouvel-Ontario,696048,École secondaire Catholique Champlain,French,61 Brookside,Chelmsford,P0M1L0,180,46.57246,-81.19953,87.2,NA,21.1,NA,0.89,11,0.88,0.85,5,12.01,SP
CSDC du Nouvel-Ontario,704989,École secondaire catholique Franco-Ouest,French,147 Spruce,Espanola,P5E1R7,32,46.26195,-81.7701,50,NA,SP,NA,0.2,NA,S. R.,S. R.,NA,SP,SP
CSDC du Nouvel-Ontario,705004,École secondaire catholique Jeunesse-Nord,French,117 Colonization,Blind River,P0R1B0,74,46.1852,-82.96493,48.6,NA,18.9,NA,0.38,-48,S. R.,1,11,27.75,SP
CSDC du Nouvel-Ontario,771473,École secondaire catholique l'Horizon,French,1650 Valleyview,Val Caron,P3N1S2,350,46.59541,-81.00888,88.6,NA,15.1,NA,0.8,16,0.35,0.84,15,11.24,4.28
CSDC du Nouvel-Ontario,701700,École secondaire catholique Saint-Joseph,French,101 Churchill,Wawa,P0S1K0,42,47.99678,-84.78353,38.1,NA,SP,SP,S. R.,NA,S. R.,0.8,13,SP,SP
CSDC du Nouvel-Ontario,704970,École secondaire catholique Trillium,French,9 Broomhead,Chapleau,P0M1K0,55,47.84111,-83.40996,54.5,NA,SP,NA,S. R.,NA,S. R.,0.73,13,SP,SP
CSDC du Nouvel-Ontario,705110,École secondaire du Sacré-Coeur,French,261 Notre Dame,Sudbury,P3C5K4,256,46.4998,-80.98886,73,SP,32,NA,0.65,-8,0.5,0.89,12,19.24,5.02
CSDC du Nouvel-Ontario,707511,École secondaire Notre-Dame-du-Sault,French,600 North,Sault Ste Marie,P6B2B9,48,46.52319,-84.3301,66.7,NA,SP,NA,0.54,-21,S. R.,S. R.,NA,SP,SP
CSDC Franco-Nord,685011,École secondaire catholique Algonquin,French,555 Algonquin,North Bay,P1B4W8,516,46.31815,-79.46637,78.9,NA,28.3,NA,0.81,9,0.17,0.84,-1,18.26,5.37
CSDC Franco-Nord,710504,École secondaire catholique Élisabeth-Bruyère,French,359 Brydges,Mattawa,P0H1V0,51,46.31860315,-78.71191701,62.7,NA,31.4,NA,S. R.,NA,S. R.,0.5,-17,24.42,SP
CSDC Franco-Nord,710660,École secondaire catholique Franco-Cité,French,90 Main,Sturgeon Falls,P2B2Z7,343,46.37252,-79.92817,89.2,NA,25.7,NA,0.88,-3,0.36,0.88,-1,21.41,SP
DSB Niagara,890200,A N Myer Secondary School,English,6338 Oneil,Niagara Falls,L2J1M7,1100,43.12239,-79.10228,8.9,SP,11.7,SP,0.86,3,0.69,0.88,2,17.69,6.45
DSB Niagara,894109,Beamsville District Secondary School,English,4317 Central,Beamsville,L0R1B0,557,43.16755,-79.47356,3.2,SP,40.9,SP,0.74,13,0.46,0.68,-19,13.59,4.52
DSB Niagara,947180,Centennial Secondary School,English,240 Thorold,Welland,L3C3W2,801,43.0048,-79.267,5.4,2.1,13.1,SP,0.87,7,0.68,0.89,0,19.6,1.42
DSB Niagara,935455,DSBN Academy,English,130 Louth,St. Catharines,L2S2T4,175,43.1384,-79.2573,6.3,NA,26.3,NA,0.71,21,N/D,0.73,-9,26.19,SP
DSB Niagara,906328,E L Crossley Secondary School,English,350,Fonthill,L0S1E0,806,43.0418,-79.3177,1.9,SP,17.2,SP,0.92,8,0.86,0.9,0,11.52,11.4
DSB Niagara,906972,Eastdale Secondary School,English,170 Wellington,Welland,L3B1B3,396,42.9871,-79.22519,SP,SP,57.1,SP,0.5,12,0.44,0.8,10,28.05,SP
DSB Niagara,907677,Eden High School,English,535 Lake,St Catharines,L2N4H7,790,43.19101,-79.25307,5.7,SP,20,SP,0.84,-1,0.59,0.93,-3,15.74,5.28
DSB Niagara,910740,Fort Erie Secondary School,English,7 Tait,Fort Erie,L2A3P1,387,42.92459,-78.91547,SP,SP,37,SP,0.7,13,0.2,0.81,14,28.45,SP
DSB Niagara,914010,Governor Simcoe Secondary School,English,15 Glenview,St Catharines,L2N2Z7,881,43.20257,-79.23395,4.8,SP,15.3,SP,0.74,-5,0.82,0.8,-11,16.06,1.42
DSB Niagara,897646,Greater Fort Erie Secondary School,English,1640 Garrison,Fort Erie,L2A5M4,NA,42.90282955,-78.97788867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DSB Niagara,914517,Grimsby Secondary School,English,5 Boulton,Grimsby,L3M1H6,754,43.19451,-79.57026,2,SP,19,2.3,0.86,1,0.39,0.9,6,11.59,12.73
DSB Niagara,921750,Laura Secord Secondary School,English,349 Niagara,St Catharines,L2M4V9,683,43.1838,-79.2262,7.2,SP,15.8,SP,0.91,12,0.64,0.81,3,21.47,2.07
DSB Niagara,922854,Lifetime Learning Centre Secondary School,English,535 Lake,St Catharines,L2N4H7,247,43.1922,-79.2529,14.6,SP,SP,NA,NA,NA,NA,NA,NA,26.17,SP
DSB Niagara,935700,Port Colborne High School,English,211 Elgin,Port Colborne,L3K3K4,457,42.8887,-79.2585,SP,SP,32.6,SP,0.7,-6,0.54,0.74,6,21.4,SP
DSB Niagara,938823,Ridgeway-Crystal Beach High School,English,576 Ridge,Ridgeway,L0S1N0,410,42.89053,-79.05147,SP,SP,16.3,SP,0.72,4,0.37,0.89,12,19.62,SP
DSB Niagara,942464,Sir Winston Churchill Secondary School,English,101 Glen Morris,St Catharines,L2T2N1,903,43.1412,-79.2309,14.6,1.9,14.6,1.6,0.73,-14,0.2,0.9,-4,20.87,7.86
DSB Niagara,943240,South Lincoln High School,English,260 Canborough,Smithville,L0R2A0,269,43.0951,-79.5493,SP,SP,30.1,SP,0.96,8,0.62,0.77,-7,11.62,SP
DSB Niagara,944157,St Catharines Collegiate Institute and Vocational School,English,34 Catherine,St Catharines,L2R5E7,678,43.1668,-79.2452,14.3,5.2,53.4,NA,0.91,15,0.36,0.85,30,30.63,1.74
DSB Niagara,945064,Stamford Collegiate,English,5775 Drummond,Niagara Falls,L2G4L2,737,43.0907,-79.0983,2.8,SP,47.1,SP,0.8,24,0.47,0.98,35,29.82,2.88
DSB Niagara,948055,Thorold Secondary School,English,50 Ormond,Thorold,L2V1Z1,584,43.12904,-79.19879,3.3,SP,26.7,SP,0.7,2,0.36,0.83,3,20.67,1.97
DSB Niagara,952214,Westlane Secondary School,English,5960 Pitton,Niagara Falls,L2H1T5,639,43.0875,-79.1316,24.1,5.6,16.7,SP,0.73,-13,0.53,0.95,20,21.77,9.67
DSB Ontario North East,902292,Cochrane High School,English,453 Chalmers,Cochrane,P0L1C0,166,49.07518,-81.01896,SP,SP,29.5,NA,0.27,NA,0,0.54,-8,16.53,SP
DSB Ontario North East,908924,Englehart High School,English,61 Fourth,Englehart,P0J1H0,176,47.82308,-79.87305,SP,NA,43.2,NA,0.62,-31,N/R,0.6,2,25.88,SP
DSB Ontario North East,916293,Hearst High School,English,27 th,Hearst,P0L1N0,25,49.68741,-83.66768,SP,NA,SP,NA,N/R,NA,N/R,0.4,NA,SP,SP
DSB Ontario North East,918288,Iroquois Falls Secondary School,English,44 Anson,Iroquois Falls,P0K1E0,183,48.76882,-80.68326,SP,NA,26.8,NA,0.73,13,0.15,0.64,-7,18.83,SP
DSB Ontario North East,919063,Kapuskasing District High School,English,61 Devonshire,Kapuskasing,P5N1C5,178,49.42065,-82.43453,16.3,NA,33.1,NA,0.56,-3,N/R,0.81,6,19.26,6.36
DSB Ontario North East,920363,Kirkland Lake District Composite Secondary School,English,60 Allen,Kirkland Lake,P2N3J5,416,48.184839,-80.02078,SP,SP,34.4,NA,0.77,-11,0.36,0.75,5,27.06,5.06
DSB Ontario North East,933287,PACE Alternative & Continuing Education,English,206 Third,Timmins,P4N1E1,91,48.474818,-81.32938485,SP,NA,NA,NA,NA,NA,NA,N/R,NA,25.53,SP
DSB Ontario North East,943509,Roland Michener Secondary School,English,155 Legion,South Porcupine,P0N1H0,263,48.4826,-81.2137,NA,NA,39.9,NA,0.69,19,0.56,0.71,6,16.26,5.17
DSB Ontario North East,946940,Timiskaming District Secondary School,English,90 Niven,New Liskeard,P0J1P0,639,47.51151,-79.67961,2.3,SP,34.4,NA,0.82,-2,0.46,0.75,-2,17.82,SP
DSB Ontario North East,948578,Timmins High and Vocational School,English,451 Theriault,Timmins,P4N8B2,702,48.48595,-81.34992,1.9,SP,19.4,SP,0.53,-29,0.35,0.59,-11,20.18,4.99
Dufferin-Peel CDSB,736228,Archbishop Romero Catholic Secondary School,English,2495 Credit Valley,Mississauga,L5M4G8,232,43.6867,-79.7605,15.1,5.2,39.2,SP,N/R,NA,N/R,N/R,NA,21.48,14.27
Dufferin-Peel CDSB,687308,Ascension of Our Lord Secondary School,English,7640 Anaka,Mississauga,L4T3H7,841,43.72338,-79.65349,27.2,11.1,19.7,NA,0.93,7,0.34,0.7,-5,26.93,9.88
Dufferin-Peel CDSB,749813,Cardinal Ambrozic Catholic Secondary School,English,10 Castle Oaks,Brampton,L6P3A2,1332,43.78772,-79.68312,22.7,2.4,13.3,SP,0.91,13,0.68,0.83,0,16.58,31.78
Dufferin-Peel CDSB,850888,Cardinal Leger Secondary School,English,75 Mary,Brampton,L6W3K5,1118,43.68409,-79.7505,18.3,3.6,16.5,SP,0.88,1,0.5,0.75,-1,20.87,11.33
Dufferin-Peel CDSB,706957,Father Michael Goetz Secondary School,English,330 Central,Mississauga,L5B3K6,1335,43.58188,-79.63583,41.9,16,10.9,NA,0.83,-5,0.38,0.78,-5,31.23,30.43
Dufferin-Peel CDSB,718114,Holy Name of Mary Secondary School,English,115 Glenvale,Brampton,L6S3J7,760,43.7338,-79.71669,24.6,3.3,6.8,NA,0.89,-2,0.59,0.86,-6,19.17,17.5
Dufferin-Peel CDSB,722790,Iona Secondary School,English,2170 South Sheridan,Mississauga,L5J2M4,961,43.52055,-79.64722,22.8,4.2,16.4,SP,0.82,-10,0.54,0.85,-1,19.41,18.61
Dufferin-Peel CDSB,724564,John Cabot Catholic Secondary School,English,635 Willowbank,Mississauga,L4W3L6,888,43.61262,-79.62083,34.7,11.5,14.2,NA,0.92,0,0.53,0.79,-8,24.6,21.1
Dufferin-Peel CDSB,798118,Loyola Catholic Secondary School,English,3566 South Common,Mississauga,L5L2B1,1055,43.52648,-79.71289,27.1,6.6,16.2,SP,0.88,0,0.37,0.8,-11,20.87,20.38
Dufferin-Peel CDSB,690694,Notre Dame Catholic Secondary School,English,2 Notre Dame,Brampton,L6Z4L5,1468,43.71943,-79.77925,15,4,14.6,1.4,0.88,8,0.42,0.83,-3,18.57,13.46
Dufferin-Peel CDSB,742333,Our Lady of Mount Carmel Secondary School,English,3700 Trelawny,Mississauga,L5N5J7,1638,43.57465,-79.77193,21.5,3.8,16.3,SP,0.92,2,0.55,0.89,-2,15.36,20.88
Dufferin-Peel CDSB,751430,Philip Pocock Catholic Secondary School,English,4555 Tomken,Mississauga,L4W1J9,1080,43.62485,-79.62581,41,5.1,18.1,SP,0.89,0,0.41,0.87,-4,21.79,20.68
Dufferin-Peel CDSB,753211,Robert F Hall Catholic Secondary School,English,6500 Old Church,Caledon East,L7C0H3,802,43.874007,-79.861987,4,SP,17.6,SP,0.84,9,0.57,0.84,-2,12.78,11.06
Dufferin-Peel CDSB,767255,St Aloysius Gonzaga Secondary School,English,2800 Erin Centre,Mississauga,L5M6R5,1809,43.55635,-79.71733,24.7,1.8,21.7,1,0.92,-2,0.53,0.93,-2,20.33,30.98
Dufferin-Peel CDSB,775606,St Augustine Secondary School,English,27 Drinkwater,Brampton,L6Y4T6,1078,43.65807,-79.7646,16.6,5.3,19.5,SP,0.84,2,0.49,0.73,-3,21.29,18.34
Dufferin-Peel CDSB,788511,St Edmund Campion Secondary School,English,275 Brisdale,Brampton,L7A3C7,1851,43.69426,-79.83014,17.3,2.9,19.6,SP,0.92,2,0.56,0.78,-1,16.42,14.82
Dufferin-Peel CDSB,792594,St Francis Xavier Secondary School,English,50 Bristol,Mississauga,L5R3K3,1928,43.61252,-79.66384,31,5.9,13.8,4.9,0.9,-1,0.43,0.85,-5,21.67,27.46
Dufferin-Peel CDSB,806919,St Joseph Secondary School,English,5555 Creditview,Mississauga,L5V2B9,1346,43.58967,-79.69933,25.8,5.5,14,SP,0.9,-4,0.41,0.81,-5,21.66,26.52
Dufferin-Peel CDSB,821381,St Marcellinus Secondary School,English,730 Courtneypark,Mississauga,L5W1L9,1838,43.62414,-79.71017,21.2,3.4,16,SP,0.96,0,0.75,0.92,3,17.05,25.35
Dufferin-Peel CDSB,822655,St Marguerite d'Youville Secondary School,English,10815 Dixie,Brampton,L6R2W5,1557,43.75223,-79.77532,10.8,3.2,14.8,SP,0.8,-3,0.65,0.79,-1,16.97,18.78
Dufferin-Peel CDSB,823953,St Martin Secondary School,English,2470 Rosemary,Mississauga,L5C1X2,1051,43.55662,-79.63562,35.3,8.8,15.6,SP,0.89,-8,0.48,0.81,-5,23.7,17.19
Dufferin-Peel CDSB,841730,St Paul Secondary School,English,815 Atwater,Mississauga,L5E1L8,417,43.5773,-79.57089,27.1,3.4,23.5,NA,0.92,1,0.38,0.86,5,19.38,4.21
Dufferin-Peel CDSB,854530,St Thomas Aquinas Secondary School,English,25 Corporation,Brampton,L6S6A2,2042,43.73869,-79.71037,12.6,3.6,14.6,SP,0.76,-6,0.57,0.71,-11,19.38,8.52
Dufferin-Peel CDSB,696056,St. Joan of Arc Catholic Secondary School,English,3801 Thomas,Mississauga,L5M7G2,1120,43.55307,-79.74658,43.4,9.2,13.9,SP,0.82,-5,0.33,0.86,-5,23.45,50.64
Dufferin-Peel CDSB,864570,St. Michael Catholic Secondary School,English,9130 Columbia,Bolton,L7E4G6,1254,43.89413,-79.75226,2.5,SP,16.2,SP,0.9,-4,0.43,0.8,-4,9.14,13.89
Dufferin-Peel CDSB,784979,St. Roch Catholic Secondary School,English,200 Valleyway,Brampton,L6X0N3,1414,43.67192,-79.80706,18.8,2.3,14.9,SP,0.94,7,0.64,0.78,-3,17.58,27
Durham CDSB,685984,All Saints Catholic Secondary School,English,3001 Country,Whitby,L1P1M1,932,43.8951,-78.9656,4.1,1.6,15,NA,0.82,1,0.38,0.8,-6,12.85,12.88
Durham CDSB,703923,Archbishop Denis O'Connor Catholic High School,English,80 Mandrake,Ajax,L1S5H4,758,43.8581,-79.02,5,3.2,21,NA,0.81,18,0.46,0.75,3,16.71,11.08
Durham CDSB,682867,Father Donald MacLellan Catholic Sec Sch Catholic School,English,1500 HOPKINS,WHITBY,L1N2C3,235,43.90997,-78.89519,SP,SP,31.5,NA,NA,NA,NA,N/R,NA,20.7,7.42
Durham CDSB,710083,Father Leo J Austin Catholic Secondary School,English,1020 Dryden,Whitby,L1R2A2,988,43.9119,-78.9377,3.9,SP,16,NA,0.86,1,0.64,0.83,1,14.05,12.51
Durham CDSB,735060,Monsignor John Pereyma Catholic Secondary School,English,316 Conant,Oshawa,L1H3S6,489,43.8803,-78.8434,5.3,2.2,29,NA,0.83,-6,0.39,0.72,13,23.72,SP
Durham CDSB,741310,Monsignor Paul Dwyer Catholic High School,English,700 Stevenson,Oshawa,L1J5P5,854,43.91135,-78.89305,5.3,2,21.7,NA,0.66,4,0.15,0.81,-3,17.99,7.71
Durham CDSB,738050,Notre Dame Catholic Secondary School,English,1375 Harwood,Ajax,L1T4G8,1145,43.8846,-79.028,5.7,2.6,15.3,NA,0.81,4,0.38,0.8,-3,16.08,18.04
Durham CDSB,826278,St Mary Catholic Secondary School,English,1918 Whites,Pickering,L1V1R9,1505,43.835,-79.1232,3.8,1.7,14.2,NA,0.77,3,0.37,0.82,-5,14.64,15.08
Durham DSB,890855,Ajax High School,English,105 Bayly,Ajax,L1S1P2,1180,43.84436,-79.01384,7,1.7,22.2,1.5,0.7,NA,0.35,0.75,-9,16.13,9.31
Durham DSB,892025,Anderson Collegiate and Vocational Institute,English,400 Anderson,Whitby,L1N3V6,936,43.88762,-78.92494,5.8,1.4,34.7,13.8,0.88,NA,0.37,0.78,-2,12.65,8.96
Durham DSB,896446,Brock High School,English,C1590 Concession,Cannington,L0E1E0,422,44.34342,-79.06638,SP,NA,25.6,NA,0.6,NA,0.33,0.79,11,17.73,SP
Durham DSB,934991,Brooklin High School,English,20 Carnwith,Whitby,L1M0K7,817,43.965799,-78.962663,1.5,SP,22.2,4.5,0.85,NA,0.51,0.89,NA,9.64,9.75
Durham DSB,933156,DCE - Under 21 Collegiate Institute and Vocational School,English,120 Centre Street South,Oshawa,L1H4A3,NA,43.89387,-78.86451,NA,NA,SP,NA,NA,NA,NA,N/D,NA,SP,SP
Durham DSB,904392,Donald A Wilson Secondary School,English,681 Rossland,Whitby,L1P1Y1,1125,43.89334,-78.96507,7.2,SP,18.9,3.1,0.88,NA,0.72,0.85,-1,11.9,17.73
Durham DSB,905674,Dunbarton High School,English,655 Sheppard,Pickering,L1V1G2,1457,43.82116,-79.1185,9.5,1.1,24,3,0.82,NA,0.37,0.8,-6,14.03,16.46
Durham DSB,905585,Durham Alternative Secondary School,English,421 Pine,Oshawa,L1J2H9,403,43.89217,-78.8783,3.7,SP,36,SP,NA,NA,NA,0.38,NA,21.23,6.22
Durham DSB,906565,Eastdale Collegiate and Vocational Institute,English,265 Harmony,Oshawa,L1G6L4,1031,43.91177,-78.83574,2.5,SP,30.5,SP,0.74,NA,0.5,0.72,-3,18.77,1.14
Durham DSB,911291,G L Roberts Collegiate and Vocational Institute,English,399 Chaleur,Oshawa,L1J1G5,481,43.85992,-78.84544,2.7,SP,34.3,NA,1,NA,0.46,0.62,4,31.54,SP
Durham DSB,916331,Henry Street High School,English,600 Henry,Whitby,L1N5C7,767,43.87266,-78.945,5.1,1.7,29.5,2.9,0.88,NA,0.82,0.78,-2,15.19,11.9
Durham DSB,918423,J Clarke Richardson Collegiate,English,1355 Harwood,Ajax,L1T4G8,1746,43.88376,-79.02697,19.8,2.5,17.6,SP,0.88,NA,0.53,0.78,1,16.22,18.65
Durham DSB,932345,Maxwell Heights Secondary School,English,1100 Coldstream,Oshawa,L1K0N1,1573,43.94655,-78.85197,8.3,1.6,18.2,1.1,0.92,NA,0.71,0.8,-5,14.67,12.37
Durham DSB,932329,O'Neill Collegiate and Vocational Institute,English,301 Simcoe,Oshawa,L1G4T2,1206,43.90577,-78.86653,5.7,1.5,25.4,9.4,0.78,NA,0.48,0.83,0,21.83,4.73
Durham DSB,935310,Pickering High School,English,180 Church,Ajax,L1T2W7,2000,43.85752,-79.05738,10.8,0.7,31.3,16,0.82,NA,0.52,0.83,-4,15.13,17.56
Durham DSB,935360,Pine Ridge Secondary School,English,2155 Liverpool,Pickering,L1X1V4,1277,43.8518,-79.09652,13.4,2,23.1,1.3,0.73,NA,0.29,0.72,-2,18.12,9.63
Durham DSB,936227,Port Perry High School,English,160 Rosa,Port Perry,L9L1L7,1112,44.1023,-78.95174,1.5,SP,32.2,6,0.83,NA,0.67,0.8,-1,12.14,4.61
Durham DSB,937525,R S Mclaughlin Collegiate and Vocational Institute,English,570 Stevenson,Oshawa,L1J5P1,914,43.9076,-78.89081,3.7,SP,21.1,2.4,0.89,NA,0.62,0.83,3,18.32,4.32
Durham DSB,941603,Sinclair Secondary School,English,380 Taunton,Whitby,L1R2K5,1689,43.91985,-78.93937,10.7,2,19.8,5.6,0.86,NA,0.62,0.8,-6,13.23,15.37
Durham DSB,948969,Uxbridge Secondary School,English,127 Planks,Uxbridge,L9P1K5,1222,44.10945,-79.1139,2,SP,24.5,4.7,0.86,NA,0.85,0.87,-1,12.19,18.3
Grand Erie DSB,896187,Brantford Collegiate Institute and Vocational School,English,120 Brant,Brantford,N3T3H3,1316,43.1431,-80.27318,3.1,SP,17.4,0.8,0.77,10,0.36,0.79,4,19.5,7.2
Grand Erie DSB,899046,Cayuga Secondary School,English,70 Haldimand Hwy,Cayuga,N0A1E0,547,42.96274998,-79.86302002,SP,SP,33.1,SP,0.8,5,0.44,0.79,7,15.18,SP
Grand Erie DSB,903728,Delhi District Secondary School,English,393 James,Delhi,N4B2B6,536,42.85121,-80.49221,SP,SP,11.8,SP,0.85,3,0.45,0.7,-5,16.07,SP
Grand Erie DSB,906069,Dunnville Secondary School,English,110 Helena,Dunnville,N1A2S5,435,42.90537,-79.62797,SP,SP,30.1,SP,0.82,2,0.5,0.6,-14,18.06,SP
Grand Erie DSB,891304,Grand Erie Learning Alternatives,English,365 Rawdon,Brantford,N3S6J3,159,43.1509,-80.24895,SP,NA,42.8,NA,NA,NA,NA,N/D,NA,29.58,SP
Grand Erie DSB,915033,Hagersville Secondary School,English,70 Parkview,Hagersville,N0A1H0,448,42.95759,-80.04511,SP,SP,37.5,SP,0.89,28,0.31,0.73,19,26.68,SP
Grand Erie DSB,898007,McKinnon Park Secondary School,English,91 Haddington,Caledonia,N3W2H2,878,43.0636,-79.95337,SP,NA,24.3,SP,0.69,0,0.45,0.69,-7,20.96,4.26
Grand Erie DSB,930245,North Park Collegiate and Vocational School,English,280 North Park,Brantford,N3R4L1,1180,43.16849,-80.26241,7.1,SP,25.8,SP,0.93,6,0.67,0.71,-11,19.32,7.26
Grand Erie DSB,933490,Paris District High School,English,231 Grand River,Paris,N3L2N6,823,43.20405,-80.38596,SP,SP,17.1,SP,0.8,-8,0.54,0.73,3,11.36,5.69
Grand Erie DSB,934402,Pauline Johnson Collegiate and Vocational School,English,627 Colborne,Brantford,N3S3M8,830,43.14061,-80.2393,4.5,1.6,36.9,NA,0.7,-6,0.41,0.55,-4,25.72,SP
Grand Erie DSB,941557,Simcoe Composite School,English,40 Wilson,Simcoe,N3Y2E5,841,42.84144,-80.30439,1.3,SP,26.2,1.2,0.86,-3,0.57,0.7,-12,15.72,3.69
